service_id,date,exception_type
FAL_FERIALE,20251101,2
FAL_FERIALE,20251208,2
FAL_FERIALE,20251225,2
FAL_FERIALE,20251226,2
FAL_FERIALE,20260101,2
FAL_FERIALE,20260106,2
FAL_FERIALE,20260406,2
FAL_FERIALE,20260425,2
FAL_FERIALE,20260501,2
FAL_FERIALE,20260602,2
FAL_FERIALE,20260815,2
FAL_FERIALE,20261208,2
FAL_FERIALE_NO_AGO,20251101,2
FAL_FERIALE_NO_AGO,20251208,2
FAL_FERIALE_NO_AGO,20251225,2
FAL_FERIALE_NO_AGO,20251226,2
FAL_FERIALE_NO_AGO,20260101,2
FAL_FERIALE_NO_AGO,20260106,2
FAL_FERIALE_NO_AGO,20260406,2
FAL_FERIALE_NO_AGO,20260425,2
FAL_FERIALE_NO_AGO,20260501,2
FAL_FERIALE_NO_AGO,20260602,2
FAL_FERIALE_NO_AGO,20260801,2
FAL_FERIALE_NO_AGO,20260803,2
FAL_FERIALE_NO_AGO,20260804,2
FAL_FERIALE_NO_AGO,20260805,2
FAL_FERIALE_NO_AGO,20260806,2
FAL_FERIALE_NO_AGO,20260807,2
FAL_FERIALE_NO_AGO,20260808,2
FAL_FERIALE_NO_AGO,20260810,2
FAL_FERIALE_NO_AGO,20260811,2
FAL_FERIALE_NO_AGO,20260812,2
FAL_FERIALE_NO_AGO,20260813,2
FAL_FERIALE_NO_AGO,20260814,2
FAL_FERIALE_NO_AGO,20260815,2
FAL_FERIALE_NO_AGO,20260817,2
FAL_FERIALE_NO_AGO,20260818,2
FAL_FERIALE_NO_AGO,20260819,2
FAL_FERIALE_NO_AGO,20260820,2
FAL_FERIALE_NO_AGO,20260821,2
FAL_FERIALE_NO_AGO,20260822,2
FAL_FERIALE_NO_AGO,20260824,2
FAL_FERIALE_NO_AGO,20260825,2
FAL_FERIALE_NO_AGO,20260826,2
FAL_FERIALE_NO_AGO,20260827,2
FAL_FERIALE_NO_AGO,20260828,2
FAL_FERIALE_NO_AGO,20260829,2
FAL_FERIALE_NO_AGO,20260831,2
FAL_FERIALE_NO_AGO,20261208,2
TI_FER_LUNSAB,20260815,2
TI_FER_LUNSAB,20261208,2
TI_FER_LUNVEN,20261208,2
TI_FEST_SAB,20261208,1
TI_SAB_EXCL_AUG,20260808,2
TI_SAB_EXCL_AUG,20260815,2
TI_SAB_GAP,20260815,2
