trip_id,arrival_time,departure_time,stop_id,stop_sequence
FAL_M_0414,04:14:00,04:14:00,BARI_FAL,1
FAL_M_0414,04:34:00,04:34:00,MOD_FAL,2
FAL_M_0506,05:06:00,05:06:00,BARI_FAL,1
FAL_M_0506,05:26:00,05:26:00,MOD_FAL,2
FAL_M_0617,06:17:00,06:17:00,BARI_FAL,1
FAL_M_0617,06:37:00,06:37:00,MOD_FAL,2
FAL_M_0749,07:49:00,07:49:00,BARI_FAL,1
FAL_M_0749,08:11:00,08:11:00,MOD_FAL,2
FAL_M_0959,09:59:00,09:59:00,BARI_FAL,1
FAL_M_0959,10:21:00,10:21:00,MOD_FAL,2
FAL_M_1048,10:48:00,10:48:00,BARI_FAL,1
FAL_M_1048,11:09:00,11:09:00,MOD_FAL,2
FAL_M_1139,11:39:00,11:39:00,BARI_FAL,1
FAL_M_1139,12:01:00,12:01:00,MOD_FAL,2
FAL_M_1244,12:44:00,12:44:00,BARI_FAL,1
FAL_M_1244,13:06:00,13:06:00,MOD_FAL,2
FAL_M_1339,13:39:00,13:39:00,BARI_FAL,1
FAL_M_1339,14:01:00,14:01:00,MOD_FAL,2
FAL_M_1409,14:09:00,14:09:00,BARI_FAL,1
FAL_M_1409,14:29:00,14:29:00,MOD_FAL,2
FAL_M_1518,15:18:00,15:18:00,BARI_FAL,1
FAL_M_1518,15:38:00,15:38:00,MOD_FAL,2
FAL_M_1600,16:00:00,16:00:00,BARI_FAL,1
FAL_M_1600,16:22:00,16:22:00,MOD_FAL,2
FAL_M_1655,16:55:00,16:55:00,BARI_FAL,1
FAL_M_1655,17:17:00,17:17:00,MOD_FAL,2
FAL_M_1743,17:43:00,17:43:00,BARI_FAL,1
FAL_M_1743,18:04:00,18:04:00,MOD_FAL,2
FAL_M_1809,18:09:00,18:09:00,BARI_FAL,1
FAL_M_1809,18:29:00,18:29:00,MOD_FAL,2
FAL_M_1917,19:17:00,19:17:00,BARI_FAL,1
FAL_M_1917,19:37:00,19:37:00,MOD_FAL,2
FAL_M_2003,20:03:00,20:03:00,BARI_FAL,1
FAL_M_2003,20:23:00,20:23:00,MOD_FAL,2
FAL_M_2059,20:59:00,20:59:00,BARI_FAL,1
FAL_M_2059,21:20:00,21:20:00,MOD_FAL,2
FAL_M_2122,21:22:00,21:22:00,BARI_FAL,1
FAL_M_2122,21:42:00,21:42:00,MOD_FAL,2
FAL_M_2210,22:10:00,22:10:00,BARI_FAL,1
FAL_M_2210,22:30:00,22:30:00,MOD_FAL,2
FAL_B_0544,05:44:00,05:44:00,MOD_FAL,1
FAL_B_0544,06:03:00,06:03:00,BARI_FAL,2
FAL_B_0656,06:56:00,06:56:00,MOD_FAL,1
FAL_B_0656,07:15:00,07:15:00,BARI_FAL,2
FAL_B_0716,07:16:00,07:16:00,MOD_FAL,1
FAL_B_0716,07:35:00,07:35:00,BARI_FAL,2
FAL_B_0745,07:45:00,07:45:00,MOD_FAL,1
FAL_B_0745,08:05:00,08:05:00,BARI_FAL,2
FAL_B_0830,08:30:00,08:30:00,MOD_FAL,1
FAL_B_0830,08:49:00,08:49:00,BARI_FAL,2
FAL_B_0921,09:21:00,09:21:00,MOD_FAL,1
FAL_B_0921,09:40:00,09:40:00,BARI_FAL,2
FAL_B_0955,09:55:00,09:55:00,MOD_FAL,1
FAL_B_0955,10:15:00,10:15:00,BARI_FAL,2
FAL_B_1040,10:40:00,10:40:00,MOD_FAL,1
FAL_B_1040,11:01:00,11:01:00,BARI_FAL,2
FAL_B_1131,11:31:00,11:31:00,MOD_FAL,1
FAL_B_1131,11:52:00,11:52:00,BARI_FAL,2
FAL_B_1240,12:40:00,12:40:00,MOD_FAL,1
FAL_B_1240,13:00:00,13:00:00,BARI_FAL,2
FAL_B_1335,13:35:00,13:35:00,MOD_FAL,1
FAL_B_1335,13:55:00,13:55:00,BARI_FAL,2
FAL_B_1449,14:49:00,14:49:00,MOD_FAL,1
FAL_B_1449,15:08:00,15:08:00,BARI_FAL,2
FAL_B_1556,15:56:00,15:56:00,MOD_FAL,1
FAL_B_1556,16:16:00,16:16:00,BARI_FAL,2
FAL_B_1651,16:51:00,16:51:00,MOD_FAL,1
FAL_B_1651,17:11:00,17:11:00,BARI_FAL,2
FAL_B_1735,17:35:00,17:35:00,MOD_FAL,1
FAL_B_1735,17:56:00,17:56:00,BARI_FAL,2
FAL_B_1847,18:47:00,18:47:00,MOD_FAL,1
FAL_B_1847,19:09:00,19:09:00,BARI_FAL,2
FAL_B_1955,19:55:00,19:55:00,MOD_FAL,1
FAL_B_1955,20:17:00,20:17:00,BARI_FAL,2
FAL_B_2051,20:51:00,20:51:00,MOD_FAL,1
FAL_B_2051,21:12:00,21:12:00,BARI_FAL,2
FAL_B_2203,22:03:00,22:03:00,MOD_FAL,1
FAL_B_2203,22:24:00,22:24:00,BARI_FAL,2
FAL_B_2251,22:51:00,22:51:00,MOD_FAL,1
FAL_B_2251,23:10:00,23:10:00,BARI_FAL,2
TI_19826,05:37:00,05:37:00,MOD_TI,1
TI_19826,05:50:00,05:50:00,BARI_TI,2
TI_19828,06:37:00,06:37:00,MOD_TI,1
TI_19828,06:50:00,06:50:00,BARI_TI,2
TI_19872,07:26:00,07:26:00,MOD_TI,1
TI_19872,07:39:00,07:39:00,BARI_TI,2
TI_19854,07:27:00,07:27:00,MOD_TI,1
TI_19854,07:40:00,07:40:00,BARI_TI,2
TI_23602,07:59:00,07:59:00,MOD_TI,1
TI_23602,08:15:00,08:15:00,BARI_TI,2
TI_19874,08:17:00,08:17:00,MOD_TI,1
TI_19874,08:30:00,08:30:00,BARI_TI,2
TI_23604,08:59:00,08:59:00,MOD_TI,1
TI_23604,09:15:00,09:15:00,BARI_TI,2
TI_19876,09:05:00,09:05:00,MOD_TI,1
TI_19876,09:18:00,09:18:00,BARI_TI,2
TI_23606,10:59:00,10:59:00,MOD_TI,1
TI_23606,11:15:00,11:15:00,BARI_TI,2
TI_19878,11:05:00,11:05:00,MOD_TI,1
TI_19878,11:18:00,11:18:00,BARI_TI,2
TI_19836,12:37:00,12:37:00,MOD_TI,1
TI_19836,12:50:00,12:50:00,BARI_TI,2
TI_19880,12:44:00,12:44:00,MOD_TI,1
TI_19880,12:57:00,12:57:00,BARI_TI,2
TI_19838,14:02:00,14:02:00,MOD_TI,1
TI_19838,14:15:00,14:15:00,BARI_TI,2
TI_19882,14:05:00,14:05:00,MOD_TI,1
TI_19882,14:18:00,14:18:00,BARI_TI,2
TI_19884,14:47:00,14:47:00,MOD_TI,1
TI_19884,15:00:00,15:00:00,BARI_TI,2
TI_23608,14:59:00,14:59:00,MOD_TI,1
TI_23608,15:15:00,15:15:00,BARI_TI,2
TI_19886,15:47:00,15:47:00,MOD_TI,1
